,bookId,Genre,NumberOfPeople
805,663,history,6
806,663,essays,8
807,663,sociology,2
808,663,classics,14
810,665,classics,37
811,665,essays,24
812,665,self-help,10
813,665,sociology,6
814,665,politics,114
815,665,philosophy,688
816,665,non-fiction,389
817,665,history,19
818,665,fiction,38
819,665,contemporary,32
820,665,literature,23
821,667,fantasy,125
823,667,school,820
824,667,novel,223
825,667,science-fiction,1366
826,667,short-stories,48
827,667,young-adult,63
828,667,politics,273
829,667,philosophy,891
830,667,literature,349
831,667,adult,155
832,667,classics,2628
833,667,fiction,2591
834,668,contemporary,7
835,668,adult,25
836,668,history,177
837,668,literature,115
838,668,non-fiction,17
839,668,novel,70
840,668,science-fiction,16
841,668,romance,8
842,668,fiction,727
843,668,drama,10
844,668,philosophy,275
845,668,classics,406
846,668,politics,95
847,668,culture,7
849,669,history,13
850,669,science,5
851,669,school,2
852,669,politics,111
853,669,philosophy,231
854,669,non-fiction,141
855,669,fiction,8
857,669,classics,15
858,669,culture,2
859,669,essays,8
860,676,poetry,1707
861,676,adult,7
863,676,classics,5
864,676,comedy,9
865,676,contemporary,9
866,676,literature,12
867,676,non-fiction,33
868,676,fiction,20
869,676,short-stories,3
870,676,school,8
871,685,novel,54
872,685,literature,80
873,685,history,21
874,685,fantasy,4
875,685,school,51
876,685,classics,142
877,685,adult,17
879,685,contemporary,14
880,685,fiction,430
882,707,history,10
883,707,religion,6
884,707,adult,4
885,707,biography,18
886,707,short-stories,62
887,707,philosophy,3
888,707,non-fiction,220
889,707,literature,6
890,707,comedy,557
891,707,politics,29
892,707,fiction,92
893,707,essays,74
894,707,culture,3
895,762,other,0
896,771,history,21
897,771,science,3952
898,771,school,18
899,771,philosophy,80
901,771,non-fiction,2488
902,816,adventure,95
903,816,contemporary,95
904,816,fiction,2634
906,816,fantasy,154
907,816,science-fiction,4735
908,816,science,157
909,816,novel,211
910,816,mystery,358
911,816,literature,107
912,816,history,1413
914,826,short-stories,6
915,826,fantasy,18
916,826,fiction,188
917,826,literature,3
918,826,mystery,2
919,826,novel,19
920,826,school,12
921,826,science,8
922,826,science-fiction,157
923,826,contemporary,10
924,826,comedy,108
926,827,adult,22
927,827,adventure,27
928,827,fantasy,285
929,827,fiction,1510
930,827,literature,28
931,827,novel,142
932,827,science,82
933,827,science-fiction,5776
934,827,young-adult,30
935,830,literature,72
936,830,science-fiction,12598
937,830,science,143
938,830,religion,49
939,830,novel,310
940,830,mystery,165
942,830,fiction,3412
943,830,fantasy,387
944,830,classics,135
945,830,adventure,89
946,830,adult,60
947,830,comedy,97
948,842,non-fiction,1774
949,842,science,197
951,842,school,116
952,842,history,27
953,842,philosophy,32
954,842,art,142
955,872,other,0
956,890,school,6359
957,890,drama,365
958,890,fiction,14048
959,890,history,2831
960,890,novel,1612
962,890,tragedy,202
963,890,young-adult,429
964,890,classics,33989
965,890,literature,2847
966,890,adult,1082
967,933,other,0
969,935,romance,7
970,935,novel,20
971,935,history,314
972,935,fiction,50
973,935,non-fiction,1028
974,935,contemporary,9
975,935,biography,974
976,935,culture,61
977,935,adult,17
979,998,self-help,651
980,998,sociology,18
981,998,philosophy,14
982,998,school,38
983,998,non-fiction,1500
984,1052,fiction,189
985,1052,history,64
986,1052,non-fiction,990
987,1052,philosophy,88
988,1052,self-help,1142
990,1052,classics,166
991,1068,school,1
992,1068,politics,2
993,1068,drama,16
994,1068,literature,1
995,1068,fiction,7
996,1068,history,43
997,1068,classics,2
999,1068,comedy,7
1000,1111,classics,22
1001,1111,history,912
1002,1111,sociology,13
1003,1111,politics,356
1005,1111,non-fiction,1052
1006,1111,biography,1122
1007,1120,school,22
1008,1120,science,3
1009,1120,self-help,78
1011,1120,non-fiction,94
1012,1167,young-adult,9
1013,1167,school,39
1015,1167,children,778
1016,1167,contemporary,6
1017,1167,family,14
1018,1167,fiction,100
1019,1167,novel,10
1020,1167,comedy,78
1021,1171,non-fiction,1535
1022,1171,politics,28
1023,1171,history,189
1024,1171,fiction,63
1025,1171,biography,314
1026,1171,comedy,24
1027,1171,culture,11
1029,1226,adult,1025
1030,1226,philosophy,701
1031,1226,young-adult,1053
1032,1226,adventure,1554
1033,1226,classics,2327
1034,1226,fantasy,3585
1036,1226,contemporary,2179
1037,1226,culture,158
1038,1226,drama,228
1039,1226,self-help,159
1040,1226,fiction,14240
1041,1226,literature,1753
1042,1226,novel,1439
1043,1226,religion,483
1044,1226,school,809
1046,1246,school,49
1047,1246,non-fiction,187
1048,1246,self-help,64
1049,1252,non-fiction,85
1051,1252,biography,36
1052,1252,history,85
1053,1252,philosophy,7
1054,1252,politics,30
1055,1252,school,12
1056,1252,self-help,32
1057,1274,self-help,1264
1058,1274,adult,29
1060,1274,sociology,40
1061,1274,school,32
1062,1274,romance,574
1063,1274,fiction,32
1064,1274,non-fiction,1773
1065,1274,family,26
1066,1274,contemporary,21
1067,1274,philosophy,77
1068,1295,other,0
1069,1296,science,61
1071,1296,young-adult,55
1072,1296,science-fiction,171
1073,1296,romance,278
1074,1296,novel,255
1075,1296,literature,66
1076,1296,fantasy,1132
1077,1296,history,4807
1078,1296,fiction,2941
1079,1296,drama,54
1080,1296,classics,393
1081,1296,adventure,214
1082,1296,adult,292
1083,1301,history,127
1084,1301,fiction,42
1085,1301,adult,18
1086,1301,biography,196
1087,1301,sociology,15
1089,1301,non-fiction,2815
1090,1301,science,70
1091,1303,politics,328
1092,1303,self-help,1327
1093,1303,sociology,38
1094,1303,classics,33
1095,1303,history,386
1096,1303,non-fiction,1739
1097,1303,philosophy,555
1099,1303,school,40
1100,1307,adult,18
1102,1307,young-adult,4
1103,1307,children,4
1104,1307,fantasy,1494
1105,1307,adventure,11
1106,1307,science-fiction,186
1107,1307,fiction,111
1108,1307,novel,13
1109,1307,science,4
1110,1317,fiction,127
1112,1317,non-fiction,3
1113,1317,fantasy,8
1114,1317,history,416
1115,1317,classics,5
1116,1317,literature,6
1117,1317,biography,2
1118,1317,novel,16
1119,1317,adventure,2
1120,1318,school,2
1121,1318,novel,9
1122,1318,classics,2
1123,1318,drama,2
1124,1318,fantasy,19
1125,1318,non-fiction,2
1126,1318,history,277
1127,1318,adult,5
1129,1318,fiction,78
1130,1319,art,508
1131,1319,non-fiction,2462
1133,1319,essays,1078
1134,1319,school,42
1135,1319,philosophy,149
1136,1319,self-help,1580
1137,1326,science,1
1138,1326,poetry,1
1139,1326,philosophy,44
1141,1326,literature,4
1142,1326,history,1
1143,1326,classics,14
1144,1326,non-fiction,5
1145,1362,other,0
1146,1363,other,0
1147,1365,history,3040
1148,1365,politics,34
1149,1365,philosophy,79
1150,1365,non-fiction,1046
1151,1365,culture,38
1152,1365,fiction,44
1153,1365,science,23
1154,1365,school,182
1155,1365,literature,84
1157,1365,classics,1511
1158,1366,other,0
1159,1371,other,0
1160,1373,other,0
1161,1377,non-fiction,76
1162,1377,poetry,4053
1163,1377,school,1514
1164,1377,philosophy,139
1165,1377,novel,144
1166,1377,fantasy,860
1167,1377,literature,1109
1168,1377,adventure,261
1169,1377,adult,150
1170,1377,classics,15290
1171,1377,fiction,3202
1173,1377,history,4341
1174,1382,other,0
1175,1383,other,0
1176,1384,other,0
1177,1387,other,0
1178,1419,tragedy,22
1179,1419,school,132
1180,1419,romance,48
1181,1419,poetry,687
1183,1419,literature,276
1184,1419,fiction,666
1185,1419,fantasy,23
1186,1419,drama,292
1187,1419,history,155
1188,1419,comedy,38
1189,1419,novel,18
1190,1419,classics,2144
1191,1419,short-stories,68
1192,1423,literature,9
1193,1423,history,6
1194,1423,classics,113
1195,1423,romance,2
1196,1423,drama,43
1197,1423,novel,4
1199,1423,poetry,11
1200,1423,fiction,51
1201,1423,children,2
1202,1423,adult,7
1203,1423,comedy,97
1204,1423,non-fiction,8
1205,1423,contemporary,9
1206,1424,literature,45
1207,1424,fiction,501
1208,1424,fantasy,38
1209,1424,culture,77
1210,1424,contemporary,49
1211,1424,classics,30
1212,1424,biography,58
1213,1424,adult,20
1214,1424,philosophy,157
1216,1424,religion,52
1217,1424,romance,13
1218,1424,self-help,156
1219,1424,non-fiction,91
1220,1424,adventure,19
1221,1424,novel,173
1222,1425,religion,15
1223,1425,philosophy,64
1225,1425,contemporary,34
1226,1425,romance,15
1227,1425,adult,18
1228,1425,novel,90
1229,1425,non-fiction,15
1230,1425,literature,26
1231,1425,fiction,325
1232,1425,fantasy,35
1233,1425,drama,5
1234,1425,adventure,9
1235,1425,self-help,69
1236,1426,religion,26
1237,1426,novel,70
1238,1426,philosophy,175
1239,1426,self-help,216
1240,1426,short-stories,8
1241,1426,literature,30
1242,1426,poetry,8
1243,1426,fantasy,37
1244,1426,contemporary,28
1245,1426,classics,12
1246,1426,adult,10
1248,1426,fiction,253
1249,1426,non-fiction,119
1250,1429,romance,19
1251,1429,fiction,467
1252,1429,literature,61
1253,1429,contemporary,45
1254,1429,drama,11
1255,1429,fantasy,31
1256,1429,history,125
1257,1429,philosophy,78
1258,1429,novel,177
1259,1429,non-fiction,8
1260,1429,adult,17
1261,1429,self-help,74
1262,1429,religion,68
1263,1429,classics,11
1265,1433,other,0
1266,1438,other,0
1267,1439,science,15
1269,1439,history,85
1270,1439,literature,3
1271,1439,school,2
1272,1439,philosophy,21
1273,1439,religion,11
1274,1439,culture,3
1275,1439,non-fiction,56
1276,1439,essays,6
1277,1445,other,0
1278,1449,politics,133
1279,1449,school,184
1280,1449,philosophy,84
1281,1449,literature,59
1282,1449,non-fiction,766
1283,1449,fiction,13
1284,1449,classics,1009
1286,1449,history,2712
1288,1462,tragedy,16
1289,1462,poetry,27
1290,1462,philosophy,5
1291,1462,non-fiction,5
1292,1462,drama,154
1293,1462,history,125
1294,1462,fiction,106
1295,1462,fantasy,10
1296,1462,classics,548
1297,1462,adult,7
1298,1462,literature,43
1299,1462,school,71
1300,1463,short-stories,1
1301,1463,drama,62
1302,1463,non-fiction,2
1303,1463,philosophy,2
1304,1463,literature,13
1305,1463,poetry,8
1306,1463,school,17
1307,1463,history,35
1308,1463,tragedy,7
1309,1463,classics,113
1310,1463,adult,2
1312,1463,fiction,26
1313,1467,philosophy,4
1314,1467,literature,13
1315,1467,school,15
1316,1467,poetry,12
1317,1467,non-fiction,2
1318,1467,drama,70
1319,1467,short-stories,4
1320,1467,tragedy,2
1321,1467,classics,101
1323,1467,history,32
1324,1467,fiction,13
1325,1516,other,0
1326,1519,other,0
1327,1523,literature,26
1328,1523,fantasy,8
1329,1523,drama,135
1330,1523,classics,296
1331,1523,history,101
1332,1523,tragedy,14
1333,1523,poetry,32
1334,1523,school,23
1336,1523,fiction,76
1338,1532,tragedy,76
1339,1532,school,359
1340,1532,drama,565
1341,1532,literature,199
1342,1532,adult,23
1343,1532,classics,1806
1344,1532,fantasy,41
1345,1532,fiction,391
1346,1532,history,408
1347,1532,philosophy,33
1348,1532,poetry,204
1349,1537,other,0
1350,1540,other,0
1351,1542,other,0
1352,1548,poetry,14
1353,1548,fantasy,4
1354,1548,philosophy,8
1356,1548,school,28
1357,1548,classics,224
1358,1548,literature,15
1359,1548,history,64
1360,1548,fiction,61
1361,1548,non-fiction,5
1362,1548,drama,92
1363,1548,adult,4
1364,1548,tragedy,21
1365,1549,history,59
1366,1549,adult,5
1367,1549,literature,36
1368,1549,drama,87
1369,1549,fantasy,4
1370,1549,school,116
1371,1549,tragedy,23
1373,1549,poetry,18
1374,1549,philosophy,15
1375,1549,classics,464
1376,1549,fiction,107
1377,1555,fantasy,35
1378,1555,fiction,571
1379,1555,classics,2209
1380,1555,history,389
1381,1555,non-fiction,18
1382,1555,philosophy,64
1383,1555,poetry,121
1384,1555,literature,225
1385,1555,school,634
1387,1555,tragedy,78
1388,1555,adult,27
1389,1555,drama,612
1390,1576,short-stories,1
1391,1576,poetry,1
1392,1576,classics,41
1393,1576,history,6
1394,1576,comedy,12
1395,1576,drama,23
1396,1576,literature,4
1397,1576,fiction,14
1399,1618,literature,1239
1400,1618,adult,1024
1401,1618,family,193
1402,1618,comedy,229
1403,1618,contemporary,3302
1404,1618,children,142
1405,1618,drama,261
1406,1618,classics,852
1407,1618,novel,1328
1408,1618,mystery,4179
1409,1618,school,1308
1410,1618,young-adult,4607
1412,1618,fiction,14089
1413,1625,other,0
1414,1633,non-fiction,2748
1415,1633,school,186
1416,1633,self-help,2749
1418,1709,essays,66
1419,1709,adult,87
1420,1709,biography,4907
1421,1709,comedy,294
1422,1709,contemporary,44
1424,1709,non-fiction,5723
1425,1709,culture,83
1426,1815,science,33
1428,1815,horror,2
1429,1815,self-help,16
1430,1815,biography,16
1431,1815,culture,18
1432,1815,history,4
1433,1815,nature,2
1434,1815,non-fiction,127
1435,1815,philosophy,43
1436,1815,religion,18
1437,1815,sociology,3
1438,1815,essays,2
1439,1823,other,0
1440,1843,philosophy,1
1441,1843,non-fiction,15
1442,1843,novel,1
1443,1843,nature,2
1444,1843,adventure,1
1445,1843,biography,13
1446,1843,culture,5
1448,1845,contemporary,169
1449,1845,culture,1439
1450,1845,adult,222
1451,1845,adventure,1471
1452,1845,young-adult,72
1453,1845,nature,497
1454,1845,literature,106
1455,1845,classics,787
1456,1845,novel,123
1457,1845,fiction,584
1458,1845,biography,4899
1459,1845,non-fiction,12142
1461,1845,school,981
1462,1845,philosophy,120
1463,1845,history,245
1464,1846,self-help,309
1465,1846,romance,62
1466,1846,philosophy,42
1467,1846,non-fiction,516
1468,1846,fiction,9
1469,1846,family,13
1471,1846,religion,898
1472,1848,fiction,316
1474,1848,novel,84
1475,1848,non-fiction,2430
1476,1848,literature,56
1477,1848,history,1747
1478,1848,adult,45
1479,1848,family,39
1480,1848,culture,108
1481,1848,contemporary,38
1482,1848,politics,76
1483,1848,classics,71
1484,1848,biography,2340
